temperature_c,humidity_pct,smoke_ppm,air_quality_ppm,mq2_volts,mq135_volts,flame_analog_volts,flame_detected,timestamp_s,episode_id,regime,regime_label,temp_rate_c_per_min,smoke_rate_ppm_per_min,heat_index_c,label,label_int
20.4,45.2,613.066,115.221,2.2258,2.1919,0.1499,0,61292.61,0,flaming,SAFE,9.0,518.76,19.676,SAFE,0
20.1,45.4,627.589,116.718,2.2403,2.1992,0.1499,0,61294.61,0,flaming,SAFE,-9.0,435.69,19.351,SAFE,0
20.4,46.1,607.738,117.262,2.2282,2.1992,0.1499,0,61296.61,0,flaming,SAFE,9.0,-595.53,19.699,SAFE,0
20.5,47.0,630.777,117.513,2.2411,2.2024,0.1499,0,61298.61,0,flaming,SAFE,3.0,691.17,19.833,SAFE,0
20.5,45.0,640.664,117.198,2.2548,2.2008,0.1499,0,61300.61,0,flaming,SAFE,0.0,296.61,19.781,SAFE,0
20.7,44.5,652.897,119.062,2.2621,2.2137,0.1499,0,61302.61,0,flaming,SAFE,6.0,366.99,19.987,SAFE,0
20.8,45.5,648.776,123.582,2.2629,2.2226,0.1499,0,61304.61,0,flaming,SAFE,3.0,-123.63,20.124,SAFE,0
20.7,44.8,672.81,123.517,2.2749,2.2193,0.1499,0,61306.61,0,flaming,SAFE,-3.0,721.02,19.995,SAFE,0
20.6,45.4,695.957,127.616,2.2983,2.2387,0.1499,0,61308.61,0,flaming,SAFE,-3.0,694.41,19.901,SAFE,0
21.1,45.8,653.989,129.785,2.2604,2.2419,0.1725,0,61310.61,0,flaming,SAFE,15.0,-1259.04,20.461,SAFE,0
21.1,45.8,643.398,127.205,2.2548,2.2322,0.166,0,61312.61,0,flaming,SAFE,0.0,-317.73,20.461,SAFE,0
21.2,45.8,672.688,125.072,2.2701,2.2282,0.1773,0,61314.61,0,flaming,SAFE,3.0,878.7,20.571,SAFE,0
21.2,45.4,681.661,125.254,2.2798,2.2347,0.1878,0,61316.61,0,flaming,SAFE,0.0,269.19,20.561,SAFE,0
21.4,44.6,701.778,132.354,2.2975,2.2548,0.1966,0,61318.61,0,flaming,SAFE,6.0,603.51,20.76,SAFE,0
21.2,44.8,705.216,137.991,2.3023,2.2629,0.2015,0,61320.61,0,flaming,SAFE,-6.0,103.14,20.545,SAFE,0
21.7,44.7,680.121,145.237,2.2814,2.2838,0.2144,0,61322.61,0,flaming,SAFE,15.0,-752.85,21.093,SAFE,0
21.6,45.3,705.534,141.779,2.2999,2.2758,0.216,0,61324.61,0,flaming,SAFE,-3.0,762.39,20.998,SAFE,0
22.0,44.7,667.605,143.505,2.2661,2.2846,0.2184,0,61326.61,0,flaming,SAFE,12.0,-1137.87,21.423,SAFE,0
21.9,44.5,671.743,139.875,2.2733,2.2709,0.2377,0,61328.61,0,flaming,SAFE,-3.0,124.14,21.308,SAFE,0
22.0,44.2,683.849,140.571,2.2822,2.2645,0.2426,0,61330.61,0,flaming,SAFE,3.0,363.18,21.41,SAFE,0
22.4,45.5,713.339,142.968,2.2999,2.2798,0.2732,0,61332.61,0,flaming,SAFE,12.0,884.7,21.884,SAFE,0
22.2,43.9,719.876,141.579,2.3048,2.2709,0.2684,0,61334.61,0,flaming,SAFE,-6.0,196.11,21.622,SAFE,0
22.3,44.2,718.071,145.352,2.3072,2.2886,0.278,0,61336.61,0,flaming,SAFE,3.0,-54.15,21.74,SAFE,0
22.2,43.7,715.299,149.486,2.3032,2.2927,0.2901,0,61338.61,0,flaming,SAFE,-3.0,-83.16,21.617,SAFE,0
22.8,43.8,733.24,148.378,2.3128,2.2919,0.3022,0,61340.61,0,flaming,SAFE,18.0,538.23,22.279,SAFE,0
22.7,45.2,727.927,151.989,2.3177,2.3007,0.3078,0,61342.61,0,flaming,SAFE,-3.0,-159.39,22.206,SAFE,0
22.7,43.9,724.178,149.461,2.3096,2.2975,0.3199,0,61344.61,0,flaming,SAFE,0.0,-112.47,22.172,SAFE,0
22.8,44.1,721.985,158.004,2.3032,2.316,0.3465,0,61346.61,0,flaming,SAFE,3.0,-65.79,22.287,SAFE,0
23.1,44.0,746.829,162.512,2.3225,2.3233,0.3586,0,61348.61,0,flaming,SAFE,9.0,745.32,22.614,SAFE,0
23.3,43.7,777.786,168.704,2.3394,2.3378,0.3594,0,61350.61,0,flaming,SAFE,6.0,928.71,22.827,SAFE,0
23.7,43.1,768.547,171.266,2.3338,2.3418,0.3796,0,61352.61,0,flaming,SAFE,12.0,-277.17,23.251,SAFE,0
23.3,43.6,742.551,168.399,2.3225,2.3426,0.3892,0,61354.61,0,flaming,SAFE,-12.0,-779.88,22.824,SAFE,0
23.4,42.6,751.995,170.188,2.3322,2.3434,0.3949,0,61356.61,0,flaming,SAFE,3.0,283.32,22.908,SAFE,0
23.9,43.9,772.288,175.236,2.337,2.3491,0.4295,0,61358.61,0,flaming,SAFE,15.0,608.79,23.492,SAFE,0
24.0,42.7,767.882,177.667,2.333,2.3491,0.4223,0,61360.61,0,flaming,SAFE,3.0,-132.18,23.57,SAFE,0
24.4,42.2,780.337,177.905,2.3402,2.3563,0.436,0,61362.61,0,flaming,SAFE,12.0,373.65,23.997,SAFE,0
24.5,43.4,804.71,174.468,2.3612,2.3539,0.465,0,61364.61,0,flaming,SAFE,3.0,731.19,24.139,SAFE,0
24.5,42.7,857.688,174.746,2.3853,2.3491,0.4795,0,61366.61,0,flaming,SAFE,0.0,1589.34,24.12,SAFE,0
24.9,42.0,856.535,186.97,2.3773,2.3708,0.4908,0,61368.61,0,flaming,SAFE,12.0,-34.59,24.542,SAFE,0
25.1,42.5,900.91,188.908,2.4015,2.3757,0.5109,0,61370.61,0,flaming,WARNING,6.0,1331.25,24.775,WARNING,1
25.2,42.8,919.451,194.29,2.4079,2.3853,0.5327,0,61372.61,0,flaming,WARNING,3.0,556.23,24.893,WARNING,1
25.5,41.6,918.273,200.883,2.4111,2.3999,0.5464,0,61374.61,0,flaming,WARNING,9.0,-35.34,25.192,WARNING,1
25.5,41.6,914.479,207.296,2.4063,2.4007,0.5697,0,61376.61,0,flaming,WARNING,0.0,-113.82,25.192,WARNING,1
25.9,42.3,950.607,204.346,2.4256,2.4031,0.5794,0,61378.61,0,flaming,WARNING,12.0,1083.84,25.65,WARNING,1
26.0,42.0,979.099,201.545,2.4281,2.4023,0.5988,0,61380.61,0,flaming,WARNING,3.0,854.76,25.752,WARNING,1
26.4,41.4,983.117,198.87,2.4361,2.3934,0.6181,0,61382.61,0,flaming,WARNING,12.0,120.54,26.177,WARNING,1
26.6,40.6,967.345,203.645,2.4289,2.399,0.6544,0,61384.61,0,flaming,WARNING,6.0,-473.16,26.376,WARNING,1
26.7,40.4,1017.01,211.814,2.4514,2.4127,0.664,0,61386.61,0,flaming,WARNING,3.0,1489.95,26.668,WARNING,1
26.7,41.5,1001.044,214.519,2.4442,2.4232,0.6753,0,61388.61,0,flaming,WARNING,0.0,-478.98,26.719,WARNING,1
27.0,41.4,1015.236,216.884,2.4426,2.42,0.7116,0,61390.61,0,flaming,WARNING,9.0,425.76,26.934,WARNING,1
27.7,39.5,1070.183,219.751,2.4732,2.416,0.7237,0,61392.61,0,flaming,WARNING,21.0,1648.41,27.378,WARNING,1
28.1,40.4,1109.204,228.663,2.4829,2.4393,0.7527,0,61394.61,0,flaming,WARNING,12.0,1170.63,27.78,WARNING,1
28.3,40.0,1174.746,247.041,2.5078,2.4651,0.7833,0,61396.61,0,flaming,WARNING,6.0,1966.26,27.932,WARNING,1
28.4,38.5,1137.711,242.528,2.4901,2.4522,0.7962,0,61398.61,0,flaming,WARNING,3.0,-1111.05,27.913,WARNING,1
28.7,38.8,1193.638,248.335,2.5086,2.4563,0.8236,0,61400.61,0,flaming,WARNING,9.0,1677.81,28.212,WARNING,1
29.1,38.9,1256.485,254.276,2.5232,2.4732,0.8615,0,61402.61,0,flaming,WARNING,12.0,1885.41,28.609,WARNING,1
29.3,39.6,1280.299,262.31,2.5377,2.478,0.8776,0,61404.61,0,flaming,WARNING,6.0,714.42,28.878,WARNING,1
29.6,37.9,1216.951,264.952,2.5119,2.4877,0.9066,0,61406.61,0,flaming,WARNING,9.0,-1900.44,29.029,WARNING,1
29.7,38.4,1287.937,257.599,2.5336,2.474,0.9356,0,61408.61,0,flaming,WARNING,3.0,2129.58,29.184,WARNING,1
30.3,38.1,1402.476,275.578,2.5602,2.4893,0.9719,0,61410.61,0,flaming,WARNING,18.0,3436.17,29.816,WARNING,1
30.9,38.1,1477.7,280.053,2.5836,2.5038,1.0081,0,61412.61,0,flaming,WARNING,18.0,2256.72,30.525,WARNING,1
31.2,38.3,1542.763,284.596,2.5957,2.4941,1.0379,0,61414.61,0,flaming,WARNING,9.0,1951.89,30.926,WARNING,1
31.5,37.6,1606.959,303.773,2.607,2.5215,1.0533,0,61416.61,0,flaming,WARNING,9.0,1925.88,31.209,WARNING,1
31.8,37.1,1570.704,303.223,2.5965,2.5135,1.0855,0,61418.61,0,flaming,WARNING,9.0,-1087.65,31.524,WARNING,1
31.9,37.4,1697.174,331.671,2.6231,2.5425,1.1314,0,61420.61,0,flaming,WARNING,3.0,3794.1,31.703,WARNING,1
32.6,38.3,1887.174,332.796,2.6537,2.5449,1.1492,1,61422.61,0,flaming,WARNING,21.0,5700.0,32.835,WARNING,1
33.0,36.2,1958.634,340.158,2.6642,2.5505,1.1878,1,61424.61,0,flaming,FIRE,12.0,2143.8,33.02,FIRE,2
33.3,35.6,2052.861,363.882,2.6835,2.5707,1.2257,1,61426.61,0,flaming,FIRE,9.0,2826.81,33.339,FIRE,2
33.9,34.8,2149.538,396.968,2.6884,2.5916,1.2604,1,61428.61,0,flaming,FIRE,18.0,2900.31,34.062,FIRE,2
34.4,35.6,2114.311,392.363,2.6996,2.5844,1.3063,1,61430.61,0,flaming,FIRE,15.0,-1056.81,35.01,FIRE,2
35.1,34.9,2093.315,412.547,2.6827,2.5997,1.3434,1,61432.61,0,flaming,FIRE,21.0,-629.88,35.969,FIRE,2
35.3,35.3,2244.621,426.785,2.7109,2.615,1.3958,1,61434.61,0,flaming,FIRE,6.0,4539.18,36.407,FIRE,2
35.7,33.6,2489.78,435.328,2.727,2.6158,1.4248,1,61436.61,0,flaming,FIRE,12.0,7354.77,36.616,FIRE,2
36.0,34.1,2518.499,468.939,2.7399,2.6416,1.4642,1,61438.61,0,flaming,FIRE,9.0,861.57,37.263,FIRE,2
36.6,34.5,2670.253,491.297,2.7456,2.6464,1.5199,1,61440.61,0,flaming,FIRE,18.0,4552.62,38.441,FIRE,2
37.2,33.5,2803.854,523.086,2.7609,2.6601,1.5569,1,61442.61,0,flaming,FIRE,18.0,4008.03,39.202,FIRE,2
37.9,33.1,2916.381,558.168,2.7657,2.6811,1.6198,1,61444.61,0,flaming,FIRE,21.0,3375.81,40.361,FIRE,2
38.1,32.5,3105.045,595.481,2.7875,2.69,1.648,1,61446.61,0,flaming,FIRE,6.0,5659.92,40.515,FIRE,2
39.3,31.3,3196.493,671.215,2.7979,2.7166,1.7084,1,61448.61,0,flaming,FIRE,36.0,2743.44,42.335,FIRE,2
39.6,31.6,3368.694,723.65,2.8012,2.7367,1.7552,1,61450.61,0,flaming,FIRE,9.0,5166.03,43.056,FIRE,2
39.7,31.4,3348.291,812.893,2.8068,2.7544,1.8059,1,61452.61,0,flaming,FIRE,3.0,-612.09,43.167,FIRE,2
40.6,31.1,3408.517,826.836,2.8116,2.7585,1.8672,1,61454.61,0,flaming,FIRE,27.0,1806.78,44.857,FIRE,2
41.5,30.0,4174.842,879.086,2.8487,2.7705,1.922,1,61456.61,0,flaming,FIRE,27.0,22989.75,46.169,FIRE,2
42.0,29.0,4368.035,1007.878,2.8592,2.7988,1.9671,1,61458.61,0,flaming,FIRE,15.0,5795.79,46.672,FIRE,2
42.6,30.0,5021.19,1145.373,2.8882,2.8173,2.0203,1,61460.61,0,flaming,FIRE,18.0,19594.65,48.539,FIRE,2
42.9,28.1,6073.398,1281.308,2.918,2.8342,2.084,1,61462.61,0,flaming,FIRE,9.0,31566.24,48.045,FIRE,2
43.9,27.3,7440.045,1371.479,2.9478,2.8511,2.1541,1,61464.61,0,flaming,FIRE,30.0,40999.41,49.677,FIRE,2
44.6,26.1,8846.214,1774.378,2.9825,2.8834,2.2113,1,61466.61,0,flaming,FIRE,21.0,42185.07,50.374,FIRE,2
45.5,26.5,10000.0,2126.683,3.0042,2.9172,2.2846,1,61468.61,0,flaming,FIRE,27.0,34613.58,52.622,FIRE,2
46.4,25.9,10000.0,2806.545,3.0171,2.9543,2.3442,1,61470.61,0,flaming,FIRE,27.0,0.0,54.176,FIRE,2
47.1,25.5,10000.0,3341.674,3.0397,2.9744,2.4079,1,61472.61,0,flaming,FIRE,21.0,0.0,55.436,FIRE,2
47.9,25.0,10000.0,4295.103,3.0736,3.0026,2.4764,1,61474.61,0,flaming,FIRE,24.0,0.0,56.833,FIRE,2
33.5,59.6,2945.618,335.536,2.7738,2.5489,0.1499,0,61476.61,1,post_fire,FIRE,0.0,0.0,40.665,FIRE,2
33.1,58.6,2832.143,318.396,2.7649,2.5312,0.1499,0,61478.61,1,post_fire,FIRE,-12.0,-3404.25,39.27,FIRE,2
32.8,58.8,2565.184,318.688,2.7415,2.5393,0.1499,0,61480.61,1,post_fire,FIRE,-9.0,-8008.77,38.6,FIRE,2
32.0,56.5,2421.586,304.618,2.7182,2.5215,0.1499,0,61482.61,1,post_fire,FIRE,-24.0,-4307.94,36.055,FIRE,2
31.5,57.0,2267.793,280.709,2.7077,2.4982,0.1499,0,61484.61,1,post_fire,FIRE,-15.0,-4613.79,35.133,FIRE,2
31.4,58.3,2174.783,273.162,2.6956,2.4925,0.1499,0,61486.61,1,post_fire,WARNING,-3.0,-2790.3,35.261,WARNING,1
30.6,57.3,1927.969,254.412,2.6642,2.4708,0.1499,0,61488.61,1,post_fire,WARNING,-24.0,-7404.42,33.414,WARNING,1
30.3,55.8,1934.911,250.91,2.6642,2.4716,0.1499,0,61490.61,1,post_fire,WARNING,-9.0,208.26,32.555,WARNING,1
29.9,56.0,1847.241,244.044,2.6505,2.453,0.1499,0,61492.61,1,post_fire,WARNING,-12.0,-2630.1,31.897,WARNING,1
29.7,55.0,1672.415,239.876,2.6215,2.4514,0.1499,0,61494.61,1,post_fire,WARNING,-6.0,-5244.78,31.393,WARNING,1
29.5,55.1,1623.248,239.02,2.6142,2.4563,0.1499,0,61496.61,1,post_fire,WARNING,-6.0,-1475.01,31.088,WARNING,1
28.7,55.7,1516.348,222.927,2.5884,2.4248,0.1499,0,61498.61,1,post_fire,WARNING,-24.0,-3207.0,29.959,WARNING,1
28.6,55.5,1472.922,217.454,2.5852,2.4289,0.1499,0,61500.61,1,post_fire,WARNING,-3.0,-1302.78,29.791,WARNING,1
28.4,54.8,1417.129,214.699,2.5634,2.416,0.1499,0,61502.61,1,post_fire,WARNING,-6.0,-1673.79,29.43,WARNING,1
27.9,54.6,1378.202,205.031,2.5522,2.399,0.1499,0,61504.61,1,post_fire,WARNING,-15.0,-1167.81,28.756,WARNING,1
27.5,52.8,1300.267,199.135,2.5336,2.3894,0.1499,0,61506.61,1,post_fire,WARNING,-12.0,-2338.05,28.126,WARNING,1
27.4,52.9,1205.954,195.103,2.5127,2.391,0.1499,0,61508.61,1,post_fire,WARNING,-3.0,-2829.39,28.023,WARNING,1
27.3,53.8,1204.976,191.432,2.5103,2.3805,0.1499,0,61510.61,1,post_fire,WARNING,-3.0,-29.34,27.98,WARNING,1
26.7,53.8,1205.372,186.56,2.5086,2.3708,0.1499,0,61512.61,1,post_fire,WARNING,-18.0,11.88,27.35,WARNING,1
26.6,54.6,1186.045,182.98,2.5014,2.3636,0.1499,0,61514.61,1,post_fire,WARNING,-3.0,-579.81,26.741,WARNING,1
26.1,52.1,1103.926,184.955,2.4893,2.3612,0.1499,0,61516.61,1,post_fire,WARNING,-15.0,-2463.57,26.126,WARNING,1
25.9,52.1,1058.6,180.917,2.4732,2.3596,0.1499,0,61518.61,1,post_fire,WARNING,-6.0,-1359.78,25.906,WARNING,1
25.7,52.3,1021.202,171.535,2.4571,2.3418,0.1499,0,61520.61,1,post_fire,WARNING,-6.0,-1121.94,25.691,WARNING,1
25.2,51.6,980.247,178.113,2.4337,2.3571,0.1499,0,61522.61,1,post_fire,WARNING,-15.0,-1228.65,25.123,WARNING,1
25.3,52.9,912.011,173.038,2.4039,2.3426,0.1499,0,61524.61,1,post_fire,WARNING,3.0,-2047.08,25.267,WARNING,1
25.2,52.3,843.518,166.289,2.37,2.3289,0.1499,0,61526.61,1,post_fire,WARNING,-3.0,-2054.79,25.141,WARNING,1
24.6,52.0,866.645,161.056,2.3821,2.3257,0.1499,0,61528.61,1,post_fire,WARNING,-18.0,693.81,24.473,WARNING,1
24.7,51.7,868.982,157.089,2.3918,2.3104,0.1499,0,61530.61,1,post_fire,WARNING,3.0,70.11,24.575,WARNING,1
24.3,51.3,861.941,159.22,2.3894,2.3177,0.1499,0,61532.61,1,post_fire,WARNING,-12.0,-211.23,24.125,WARNING,1
24.3,52.2,819.522,169.728,2.3644,2.3354,0.1499,0,61534.61,1,post_fire,WARNING,0.0,-1272.57,24.149,WARNING,1
23.8,51.5,794.118,166.394,2.3507,2.3338,0.1499,0,61536.61,1,post_fire,WARNING,-15.0,-762.12,23.58,WARNING,1
23.9,50.4,811.484,162.154,2.3596,2.3257,0.1499,0,61538.61,1,post_fire,WARNING,3.0,520.98,23.662,WARNING,1
23.6,51.0,801.93,164.087,2.3483,2.3305,0.1499,0,61540.61,1,post_fire,WARNING,-9.0,-286.62,23.347,WARNING,1
23.3,50.8,814.855,158.861,2.366,2.3185,0.1499,0,61542.61,1,post_fire,WARNING,-9.0,387.75,23.012,WARNING,1
23.3,50.3,800.207,155.078,2.3491,2.3064,0.1499,0,61544.61,1,post_fire,WARNING,0.0,-439.44,22.999,WARNING,1
23.4,50.3,760.422,156.104,2.3273,2.2999,0.1499,0,61546.61,1,post_fire,WARNING,3.0,-1193.55,23.109,WARNING,1
23.0,50.3,762.99,158.891,2.3386,2.3177,0.1499,0,61548.61,1,post_fire,WARNING,-12.0,77.04,22.669,WARNING,1
22.9,50.2,771.18,161.432,2.3338,2.3201,0.1499,0,61550.61,1,post_fire,WARNING,-3.0,245.7,22.556,WARNING,1
22.7,50.6,761.029,153.285,2.3338,2.3088,0.1499,0,61552.61,1,post_fire,WARNING,-6.0,-304.53,22.347,WARNING,1
22.5,49.9,747.28,150.461,2.3249,2.2911,0.1499,0,61554.61,1,post_fire,WARNING,-6.0,-412.47,22.108,WARNING,1
22.6,49.7,732.177,151.977,2.316,2.3104,0.1499,0,61556.61,1,post_fire,WARNING,3.0,-453.09,22.213,WARNING,1
22.4,49.8,753.795,143.322,2.3289,2.2782,0.1499,0,61558.61,1,post_fire,WARNING,-6.0,648.54,21.996,WARNING,1
22.5,48.2,780.973,139.807,2.3378,2.2669,0.1499,0,61560.61,1,post_fire,WARNING,3.0,815.34,22.064,WARNING,1
22.0,48.5,777.125,146.986,2.3451,2.2854,0.1499,0,61562.61,1,post_fire,WARNING,-15.0,-115.44,21.522,WARNING,1
22.0,49.2,789.942,145.16,2.3515,2.2886,0.1499,0,61564.61,1,post_fire,WARNING,0.0,384.51,21.54,WARNING,1
22.1,48.7,749.441,143.577,2.3185,2.2766,0.1499,0,61566.61,1,post_fire,WARNING,3.0,-1215.03,21.637,WARNING,1
22.0,48.9,755.976,142.718,2.3273,2.2766,0.1499,0,61568.61,1,post_fire,WARNING,-3.0,196.05,21.532,WARNING,1
22.2,49.3,759.871,141.973,2.3193,2.2846,0.1499,0,61570.61,1,post_fire,WARNING,6.0,116.85,21.763,WARNING,1
21.7,48.8,760.436,140.863,2.3289,2.2677,0.1499,0,61572.61,1,post_fire,WARNING,-15.0,16.95,21.2,WARNING,1
21.5,49.0,810.793,140.868,2.3571,2.2758,0.1499,0,61574.61,1,post_fire,WARNING,-6.0,1510.71,20.985,WARNING,1
21.4,48.6,820.33,142.574,2.3555,2.2733,0.1499,0,61576.61,1,post_fire,WARNING,-3.0,286.11,20.865,WARNING,1
21.0,50.6,780.851,143.251,2.3394,2.2782,0.1499,0,61578.61,1,post_fire,WARNING,-12.0,-1184.37,20.477,WARNING,1
21.4,48.2,766.232,141.05,2.3354,2.2806,0.1499,0,61580.61,1,post_fire,WARNING,12.0,-438.57,20.854,WARNING,1
21.3,48.7,774.769,136.093,2.337,2.2556,0.1499,0,61582.61,1,post_fire,WARNING,-3.0,256.11,20.757,WARNING,1
21.4,48.4,783.013,136.973,2.3475,2.2564,0.1499,0,61584.61,1,post_fire,WARNING,3.0,247.32,20.859,WARNING,1
21.2,48.1,780.136,134.915,2.3386,2.2621,0.1499,0,61586.61,1,post_fire,WARNING,-6.0,-86.31,20.631,WARNING,1
21.0,48.5,793.602,136.095,2.3491,2.2612,0.1499,0,61588.61,1,post_fire,WARNING,-6.0,403.98,20.422,WARNING,1
20.8,48.6,807.056,141.116,2.3563,2.2693,0.1499,0,61590.61,1,post_fire,WARNING,-6.0,403.62,20.205,WARNING,1
21.0,47.8,824.904,141.439,2.3628,2.2741,0.1499,0,61592.61,1,post_fire,WARNING,6.0,535.44,20.404,WARNING,1
20.7,47.5,805.505,145.883,2.3483,2.2846,0.1499,0,61594.61,1,post_fire,WARNING,-9.0,-581.97,20.066,WARNING,1
20.5,47.3,821.619,152.395,2.3579,2.304,0.1499,0,61596.61,1,post_fire,WARNING,-6.0,483.42,19.841,WARNING,1
20.9,47.1,769.448,150.556,2.3378,2.2983,0.1499,0,61598.61,1,post_fire,WARNING,12.0,-1565.13,20.275,WARNING,1
20.4,48.2,757.249,147.035,2.3273,2.2895,0.1499,0,61600.61,1,post_fire,WARNING,-15.0,-365.97,19.754,WARNING,1
20.6,48.9,720.619,147.448,2.3128,2.2822,0.1499,0,61602.61,1,post_fire,WARNING,6.0,-1098.9,19.992,WARNING,1
20.3,48.5,745.813,148.688,2.3209,2.2951,0.1499,0,61604.61,1,post_fire,WARNING,-9.0,755.82,19.652,WARNING,1
20.5,48.3,779.388,156.921,2.3483,2.3072,0.1499,0,61606.61,1,post_fire,WARNING,6.0,1007.25,19.867,WARNING,1
20.4,48.8,767.235,159.318,2.3322,2.3177,0.1499,0,61608.61,1,post_fire,WARNING,-3.0,-364.59,19.77,WARNING,1
20.2,47.0,746.002,157.031,2.3225,2.3168,0.1499,0,61610.61,1,post_fire,WARNING,-6.0,-636.99,19.503,WARNING,1
20.1,47.6,734.426,154.816,2.308,2.3064,0.1499,0,61612.61,1,post_fire,WARNING,-3.0,-347.28,19.408,WARNING,1
20.3,47.2,759.413,153.817,2.3314,2.3104,0.1499,0,61614.61,1,post_fire,WARNING,6.0,749.61,19.618,WARNING,1
20.4,47.3,764.824,151.328,2.3354,2.2999,0.1499,0,61616.61,1,post_fire,WARNING,3.0,162.33,19.731,WARNING,1
19.3,46.1,574.25,116.602,2.2008,2.2024,0.1499,0,61618.61,2,cooking,WARNING,0.0,0.0,18.489,WARNING,1
19.5,46.3,601.062,124.104,2.2306,2.225,0.1499,0,61620.61,2,cooking,WARNING,6.0,804.36,18.714,WARNING,1
19.7,46.3,592.553,129.15,2.2177,2.2427,0.1499,0,61622.61,2,cooking,WARNING,6.0,-255.27,18.934,WARNING,1
19.8,47.8,591.201,130.881,2.2113,2.2443,0.1499,0,61624.61,2,cooking,WARNING,3.0,-40.56,19.084,WARNING,1
20.2,48.1,589.916,136.76,2.2161,2.2564,0.1499,0,61626.61,2,cooking,WARNING,12.0,-38.55,19.532,WARNING,1
20.3,48.1,621.841,142.555,2.2387,2.279,0.1499,0,61628.61,2,cooking,WARNING,3.0,957.75,19.642,WARNING,1
20.4,49.6,625.571,143.893,2.2371,2.2741,0.1499,0,61630.61,2,cooking,WARNING,3.0,111.9,19.791,WARNING,1
20.8,47.4,622.27,153.447,2.2355,2.3032,0.1499,0,61632.61,2,cooking,WARNING,12.0,-99.03,20.173,WARNING,1
20.7,47.9,629.503,156.475,2.2379,2.3048,0.1499,0,61634.61,2,cooking,WARNING,-3.0,216.99,20.076,WARNING,1
